Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,Store.2,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,Year,Month,Week of Year,PromotionActive,RandSample
120,5,2013-11-08,8557,737,1,1,0,0,120,d,a,2290,12,2014,1,37,2009,"Jan,Apr,Jul,Oct",2013,11,45,"""Yes""",0.044457755
581,5,2013-01-18,4032,551,1,0,0,0,581,a,a,7250,12,2013,0,,,,2013,1,3,"""No""",0.10573415
902,3,2013-07-17,5126,684,1,1,0,0,902,a,a,310,5,2015,1,40,2014,"Jan,Apr,Jul,Oct",2013,7,29,"""Yes""",0.110386262
280,4,2013-09-19,5163,556,1,0,0,0,280,d,c,18640,9,2013,1,10,2014,"Mar,Jun,Sept,Dec",2013,9,38,"""Yes""",0.621081206
263,2,2013-12-24,3351,343,1,0,0,1,263,a,c,1140,5,2013,1,40,2014,"Jan,Apr,Jul,Oct",2013,12,52,"""Yes""",0.09370405
1010,3,2013-05-15,7880,705,1,1,0,0,1010,d,c,4610,6,2010,1,18,2010,"Feb,May,Aug,Nov",2013,5,20,"""Yes""",0.859271088
581,4,2013-01-24,5842,613,1,1,0,0,581,a,a,7250,12,2013,0,,,,2013,1,4,"""Yes""",0.400194141
1103,1,2013-07-15,7437,507,1,1,0,1,1103,d,c,1340,10,2006,1,5,2013,"Feb,May,Aug,Nov",2013,7,29,"""Yes""",0.566070699
916,6,2013-06-01,5608,728,1,0,0,0,916,a,a,90,11,2012,0,,,,2013,6,22,"""No""",0.199390164
350,2,2013-04-16,4543,396,1,0,0,0,350,d,a,8880,,,1,14,2011,"Jan,Apr,Jul,Oct",2013,4,16,"""Yes""",0.776389503
184,5,2013-11-22,6443,632,1,1,0,0,184,d,c,3560,,,0,,,,2013,11,47,"""Yes""",0.102186701
106,3,2013-03-13,8526,830,1,0,0,0,106,a,a,1390,8,2013,0,,,,2013,3,11,"""No""",0.914209277
848,6,2013-01-26,4076,553,1,0,0,0,848,a,c,370,7,2007,1,14,2011,"Jan,Apr,Jul,Oct",2013,1,4,"""Yes""",0.604001704
1034,6,2013-04-20,2532,274,1,0,0,0,1034,a,a,13750,4,2015,0,,,,2013,4,16,"""No""",0.123884783
955,4,2013-08-08,3240,346,1,0,0,1,955,d,c,1690,7,2009,1,36,2013,"Mar,Jun,Sept,Dec",2013,8,32,"""Yes""",0.261651006
23,5,2013-04-05,4411,464,1,0,0,1,23,d,a,4060,8,2005,0,,,,2013,4,14,"""No""",0.799225692
228,4,2013-03-28,11061,807,1,1,0,1,228,d,c,10800,,,1,18,2011,"Feb,May,Aug,Nov",2013,3,13,"""Yes""",0.415877411
370,5,2013-05-24,6918,609,1,0,0,0,370,d,a,8250,10,2000,1,31,2009,"Jan,Apr,Jul,Oct",2013,5,21,"""Yes""",0.309779388
611,2,2013-06-18,6216,505,1,1,0,0,611,a,a,8080,12,2002,1,40,2014,"Jan,Apr,Jul,Oct",2013,6,25,"""Yes""",0.94301257
214,3,2013-11-06,9243,694,1,1,0,0,214,d,a,8650,7,2013,1,10,2014,"Jan,Apr,Jul,Oct",2013,11,45,"""Yes""",0.205833759
343,1,2013-06-03,9407,844,1,1,0,0,343,d,a,18650,4,2004,1,14,2014,"Jan,Apr,Jul,Oct",2013,6,23,"""Yes""",0.517145659
388,3,2013-04-03,8743,1027,1,0,0,1,388,a,a,2260,,,0,,,,2013,4,14,"""No""",0.734299168
17,1,2013-02-18,10781,1198,1,1,0,1,17,a,a,50,12,2005,1,26,2010,"Jan,Apr,Jul,Oct",2013,2,8,"""Yes""",0.945587139
997,3,2013-09-25,4704,390,1,1,0,0,997,d,c,5840,7,2010,1,37,2009,"Jan,Apr,Jul,Oct",2013,9,39,"""Yes""",0.18244956
171,1,2013-04-29,12020,1134,1,1,0,0,171,a,a,2640,,,0,,,,2013,4,18,"""Yes""",0.919530901
530,1,2013-09-16,4947,926,1,0,0,0,530,a,c,18160,,,0,,,,2013,9,38,"""No""",0.473110624
551,6,2013-04-20,4640,762,1,0,0,0,551,a,c,2190,9,2013,0,,,,2013,4,16,"""No""",0.464152051
454,6,2013-09-07,1797,237,1,0,0,0,454,a,a,26450,,,0,,,,2013,9,36,"""No""",0.029113887
357,6,2013-03-23,6028,894,1,0,0,0,357,a,a,2060,10,2008,0,,,,2013,3,12,"""No""",0.535753389
1098,5,2013-04-19,4671,711,1,0,0,0,1098,a,a,1830,11,2004,0,,,,2013,4,16,"""No""",0.322669543
650,6,2013-04-06,6929,726,1,0,0,0,650,a,a,1420,10,2012,1,40,2014,"Jan,Apr,Jul,Oct",2013,4,14,"""Yes""",0.969264859
1033,5,2013-12-13,14433,1357,1,0,0,0,1033,a,a,7680,3,2006,0,,,,2013,12,50,"""No""",0.717407175
1077,5,2013-07-05,5120,555,1,1,0,0,1077,a,a,3750,11,2001,1,35,2010,"Mar,Jun,Sept,Dec",2013,7,27,"""Yes""",0.006700932
91,3,2013-02-27,4195,557,1,0,0,0,91,c,a,2410,,,1,35,2011,"Jan,Apr,Jul,Oct",2013,2,9,"""Yes""",0.335823909
515,6,2013-03-02,10631,918,1,0,0,0,515,d,c,11260,,,1,9,2011,"Feb,May,Aug,Nov",2013,3,9,"""Yes""",0.882398919
199,1,2013-02-11,3495,314,1,0,0,0,199,d,c,6360,12,2010,1,14,2012,"Mar,Jun,Sept,Dec",2013,2,7,"""Yes""",0.529851087
242,1,2013-01-14,2884,314,1,0,0,0,242,d,a,6880,9,2001,1,14,2011,"Jan,Apr,Jul,Oct",2013,1,3,"""Yes""",0.945983654
53,1,2013-09-16,4025,501,1,0,0,0,53,a,c,30360,9,2013,0,,,,2013,9,38,"""No""",0.661147133
2,4,2013-01-24,5091,582,1,1,0,0,2,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",2013,1,4,"""Yes""",0.583518286
882,3,2013-01-09,9001,1043,1,1,0,0,882,a,a,30,4,2013,0,,,,2013,1,2,"""Yes""",0.572402213
438,4,2013-06-20,4296,443,1,1,0,0,438,d,c,1110,,,1,40,2012,"Jan,Apr,Jul,Oct",2013,6,25,"""Yes""",0.028187968
277,5,2013-01-18,6266,567,1,0,0,0,277,d,c,7840,,,1,31,2009,"Feb,May,Aug,Nov",2013,1,3,"""Yes""",0.111171384
199,2,2013-04-23,7044,571,1,1,0,0,199,d,c,6360,12,2010,1,14,2012,"Mar,Jun,Sept,Dec",2013,4,17,"""Yes""",0.286134523
1052,3,2013-04-24,6104,708,1,1,0,0,1052,a,c,5080,,,1,31,2013,"Feb,May,Aug,Nov",2013,4,17,"""Yes""",0.553424757
619,1,2013-01-28,3429,415,1,0,0,0,619,a,a,1600,6,2006,1,45,2009,"Feb,May,Aug,Nov",2013,1,5,"""Yes""",0.799546918
819,4,2013-01-24,6093,522,1,1,0,0,819,a,c,720,10,2014,0,,,,2013,1,4,"""Yes""",0.728895913
55,1,2013-01-21,5990,721,1,1,0,0,55,a,a,720,11,2004,0,,,,2013,1,4,"""Yes""",0.812702404
667,2,2013-07-02,9896,822,1,1,0,1,667,d,c,2870,9,2012,0,,,,2013,7,27,"""Yes""",0.304295142
731,5,2013-12-20,14729,1426,1,1,0,0,731,a,a,15270,,,1,10,2014,"Jan,Apr,Jul,Oct",2013,12,51,"""Yes""",0.713531944
772,2,2013-07-16,3087,423,1,1,0,1,772,d,c,1850,,,0,,,,2013,7,29,"""Yes""",0.231624658
113,2,2013-10-15,6959,663,1,0,0,0,113,d,c,20930,11,1999,0,,,,2013,10,42,"""No""",0.437428576
968,5,2013-09-20,5818,791,1,0,0,0,968,c,a,1190,,,0,,,,2013,9,38,"""No""",0.076220327
94,2,2013-04-16,4603,491,1,0,0,0,94,d,c,14620,,,0,,,,2013,4,16,"""No""",0.258939559
498,3,2013-01-30,6571,897,1,0,0,0,498,a,a,990,,,1,40,2014,"Jan,Apr,Jul,Oct",2013,1,5,"""Yes""",0.631130791
632,4,2013-07-18,6274,855,1,1,0,1,632,a,a,3350,2,2010,0,,,,2013,7,29,"""Yes""",0.950036477
1099,3,2013-10-30,7423,949,1,0,0,0,1099,a,c,200,4,2013,1,14,2013,"Jan,Apr,Jul,Oct",2013,10,44,"""Yes""",0.785518022
671,2,2013-05-28,5507,537,1,1,0,1,671,a,c,2070,2,2008,1,39,2010,"Jan,Apr,Jul,Oct",2013,5,22,"""Yes""",0.68563135
1072,2,2013-09-10,7586,634,1,1,0,0,1072,a,c,5380,8,2015,1,5,2010,"Feb,May,Aug,Nov",2013,9,37,"""Yes""",0.732087088
394,2,2013-03-19,8327,621,1,1,0,0,394,d,a,10850,,,0,,,,2013,3,12,"""Yes""",0.685704797
841,2,2013-08-13,4312,567,1,1,0,1,841,a,a,27650,8,2004,0,,,,2013,8,33,"""Yes""",0.857043798
36,6,2013-01-19,8884,1067,1,0,0,0,36,a,c,540,6,2003,1,40,2014,"Jan,Apr,Jul,Oct",2013,1,3,"""Yes""",0.727524854
282,5,2013-11-08,5071,718,1,1,0,0,282,a,a,1220,12,2010,0,,,,2013,11,45,"""Yes""",0.12155988
823,3,2013-01-30,4404,479,1,0,0,0,823,a,c,16210,11,2010,0,,,,2013,1,5,"""No""",0.897194534
685,3,2013-04-03,7297,684,1,0,0,1,685,a,a,650,11,2013,1,37,2009,"Jan,Apr,Jul,Oct",2013,4,14,"""Yes""",0.268155151
571,5,2013-01-04,6489,545,1,0,0,1,571,d,a,2110,11,1995,1,40,2014,"Jan,Apr,Jul,Oct",2013,1,1,"""Yes""",0.956423243
465,4,2013-01-31,6379,525,1,0,0,0,465,d,c,10890,4,2005,0,,,,2013,1,5,"""No""",0.540023899
494,5,2013-07-19,7477,1070,1,1,0,1,494,b,a,1260,6,2011,0,,,,2013,7,29,"""Yes""",0.56641178
140,4,2013-04-25,7539,965,1,1,0,0,140,a,c,1090,7,2010,1,1,2013,"Jan,Apr,Jul,Oct",2013,4,17,"""Yes""",0.290707249
365,2,2013-12-31,3388,392,1,0,0,1,365,c,a,2410,,,1,45,2009,"Feb,May,Aug,Nov",2013,12,53,"""Yes""",0.337324908
302,1,2013-06-03,3937,352,1,1,0,0,302,d,c,2190,12,2007,1,9,2011,"Mar,Jun,Sept,Dec",2013,6,23,"""Yes""",0.4775016
34,1,2013-12-09,7606,979,1,0,0,0,34,c,a,2240,9,2009,0,,,,2013,12,50,"""No""",0.588347182
692,6,2013-06-22,4179,494,1,0,0,0,692,a,a,40,8,2001,0,,,,2013,6,25,"""No""",0.600002817
675,4,2013-10-31,5589,664,1,0,0,1,675,a,a,2100,8,2013,1,14,2011,"Jan,Apr,Jul,Oct",2013,10,44,"""Yes""",0.054889455
485,1,2013-12-30,6892,595,1,0,0,1,485,d,c,3270,,,1,22,2012,"Jan,Apr,Jul,Oct",2013,12,53,"""Yes""",0.87466122
545,6,2013-03-30,10481,1054,1,0,0,0,545,a,c,5020,5,2006,1,18,2014,"Feb,May,Aug,Nov",2013,3,13,"""Yes""",0.495481622
651,3,2013-03-27,9492,1156,1,1,0,1,651,a,a,200,,,0,,,,2013,3,13,"""Yes""",0.665142591
222,5,2013-06-21,5761,629,1,1,0,1,222,a,a,2170,11,2008,0,,,,2013,6,25,"""Yes""",0.707299642
742,4,2013-07-18,7782,865,1,1,0,0,742,d,c,4380,,,0,,,,2013,7,29,"""Yes""",0.384059332
1039,2,2013-04-02,7236,1060,1,0,0,1,1039,a,c,70,6,1990,1,22,2012,"Mar,Jun,Sept,Dec",2013,4,14,"""Yes""",0.494527704
84,6,2013-07-13,10328,1188,1,0,0,0,84,a,c,11810,8,2014,0,,,,2013,7,28,"""No""",0.813328109
423,1,2013-05-13,10372,1688,1,1,0,0,423,b,a,1270,5,2014,0,,,,2013,5,20,"""Yes""",0.987603521
967,5,2013-01-11,9471,1037,1,1,0,0,967,a,c,3560,9,2013,1,36,2013,"Jan,Apr,Jul,Oct",2013,1,2,"""Yes""",0.592705617
496,4,2013-10-17,4900,621,1,0,0,0,496,d,c,2780,6,2015,0,,,,2013,10,42,"""No""",0.803531192
841,4,2013-06-06,3351,468,1,1,0,0,841,a,a,27650,8,2004,0,,,,2013,6,23,"""Yes""",0.620901277
1063,1,2013-12-16,9236,897,1,1,0,0,1063,a,c,6250,,,0,,,,2013,12,51,"""Yes""",0.687758256
706,6,2013-01-19,6061,576,1,0,0,0,706,d,a,7830,9,2014,1,10,2014,"Mar,Jun,Sept,Dec",2013,1,3,"""Yes""",0.903828477
481,3,2013-05-15,3942,378,1,1,0,0,481,c,c,7470,,,1,44,2012,"Feb,May,Aug,Nov",2013,5,20,"""Yes""",0.152192001
884,3,2013-05-15,4629,448,1,1,0,0,884,d,c,7550,,,0,,,,2013,5,20,"""Yes""",0.044547637
718,3,2013-07-17,8629,871,1,1,0,1,718,a,a,1100,6,2015,0,,,,2013,7,29,"""Yes""",0.971651517
920,2,2013-08-27,4543,453,1,1,0,1,920,a,a,850,2,2012,1,40,2014,"Jan,Apr,Jul,Oct",2013,8,35,"""Yes""",0.33828407
533,1,2013-06-24,7767,807,1,0,0,0,533,a,c,5950,,,0,,,,2013,6,26,"""No""",0.859281909
520,1,2013-02-18,4835,473,1,1,0,0,520,a,c,6900,,,1,40,2012,"Mar,Jun,Sept,Dec",2013,2,8,"""Yes""",0.929174303
124,2,2013-09-03,4099,550,1,0,0,1,124,a,a,1410,4,2003,0,,,,2013,9,36,"""No""",0.77693272
53,3,2013-06-12,4276,498,1,0,0,0,53,a,c,30360,9,2013,0,,,,2013,6,24,"""No""",0.157719466
366,3,2013-04-10,5797,576,1,1,0,0,366,d,c,6470,12,2004,0,,,,2013,4,15,"""Yes""",0.556835893
568,5,2013-05-10,4947,432,1,0,0,0,568,d,c,4270,,,1,1,2013,"Jan,Apr,Jul,Oct",2013,5,19,"""Yes""",0.254527313
3,4,2013-02-28,6167,767,1,0,0,0,3,a,a,14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",2013,2,9,"""Yes""",0.600504521
895,5,2013-02-08,10473,967,1,1,0,0,895,a,c,4150,,,0,,,,2013,2,6,"""Yes""",0.607272563
406,1,2013-06-24,3328,324,1,0,0,0,406,d,c,8240,3,2001,1,10,2013,"Feb,May,Aug,Nov",2013,6,26,"""Yes""",0.692214633
1093,1,2013-05-27,10182,1029,1,1,0,0,1093,c,c,10450,6,2009,0,,,,2013,5,22,"""Yes""",0.294079569
629,4,2013-07-18,9789,807,1,1,0,0,629,d,a,510,7,2014,1,23,2015,"Mar,Jun,Sept,Dec",2013,7,29,"""Yes""",0.205663564
889,4,2013-12-19,6769,646,1,1,0,0,889,d,a,18670,12,2005,0,,,,2013,12,51,"""Yes""",0.424043247
102,3,2013-10-23,6190,998,1,1,0,1,102,a,a,150,12,2007,1,10,2014,"Mar,Jun,Sept,Dec",2013,10,43,"""Yes""",0.161118703
842,2,2013-08-20,16856,1044,1,0,0,1,842,d,c,1200,11,2007,0,,,,2013,8,34,"""No""",0.007067218
633,2,2013-02-05,7196,503,1,1,0,0,633,d,a,11640,4,2005,1,22,2011,"Jan,Apr,Jul,Oct",2013,2,6,"""Yes""",0.59539668
439,5,2013-04-05,6206,876,1,0,0,1,439,a,a,1350,9,2009,0,,,,2013,4,14,"""No""",0.816231941
669,2,2013-07-23,3219,314,1,0,0,0,669,d,a,17080,7,2012,1,31,2013,"Jan,Apr,Jul,Oct",2013,7,30,"""Yes""",0.128762939
767,4,2013-03-07,6918,675,1,1,0,0,767,a,c,13080,,,0,,,,2013,3,10,"""Yes""",0.263270518
309,5,2013-02-15,4761,469,1,0,0,0,309,d,a,8740,,,1,37,2009,"Feb,May,Aug,Nov",2013,2,7,"""Yes""",0.072777349
470,6,2013-06-08,13012,2041,1,0,0,0,470,a,c,50,,,0,,,,2013,6,23,"""No""",0.371516892
55,3,2013-03-20,5199,614,1,1,0,0,55,a,a,720,11,2004,0,,,,2013,3,12,"""Yes""",0.996095383
927,2,2013-07-23,4165,651,1,0,0,1,927,a,a,480,,,0,,,,2013,7,30,"""No""",0.984511351
1032,4,2013-11-07,9024,982,1,1,0,0,1032,d,c,270,2,2013,1,40,2012,"Jan,Apr,Jul,Oct",2013,11,45,"""Yes""",0.026684619
337,5,2013-05-10,6538,434,1,0,0,0,337,d,c,10600,7,2005,1,45,2014,"Feb,May,Aug,Nov",2013,5,19,"""Yes""",0.576516089
828,5,2013-08-02,6176,630,1,1,0,1,828,d,c,3290,12,2014,0,,,,2013,8,31,"""Yes""",0.990911038
696,3,2013-09-18,5547,834,1,0,0,0,696,a,c,430,,,0,,,,2013,9,38,"""No""",0.624813521
1110,5,2013-10-11,4659,613,1,1,0,1,1110,c,c,900,9,2010,0,,,,2013,10,41,"""Yes""",0.107603587
819,1,2013-12-30,7199,733,1,0,0,1,819,a,c,720,10,2014,0,,,,2013,12,53,"""No""",0.06261766
398,5,2013-06-28,6092,659,1,0,0,1,398,c,c,1540,,,1,1,2012,"Jan,Apr,Jul,Oct",2013,6,26,"""Yes""",0.193396479
587,3,2013-11-27,7970,569,1,0,0,0,587,d,c,330,9,2006,1,14,2011,"Jan,Apr,Jul,Oct",2013,11,48,"""Yes""",0.44712083
879,3,2013-06-05,3549,319,1,1,0,0,879,d,a,10000,,,1,5,2013,"Feb,May,Aug,Nov",2013,6,23,"""Yes""",0.542400334
910,1,2013-11-25,5186,539,1,0,0,0,910,d,c,12480,,,1,1,2013,"Jan,Apr,Jul,Oct",2013,11,48,"""Yes""",0.944936273
698,1,2013-11-18,18678,2218,1,1,0,0,698,a,a,1790,5,2011,0,,,,2013,11,47,"""Yes""",0.851061548
444,3,2013-10-30,13060,1632,1,0,0,1,444,c,a,1700,11,2009,0,,,,2013,10,44,"""No""",0.779662857
352,4,2013-06-27,6191,573,1,0,0,1,352,d,c,6360,,,1,40,2012,"Mar,Jun,Sept,Dec",2013,6,26,"""Yes""",0.295721835
868,2,2013-10-01,8042,628,1,0,0,0,868,d,c,1360,8,2005,1,10,2014,"Jan,Apr,Jul,Oct",2013,10,40,"""Yes""",0.419118395
684,4,2013-10-24,6249,493,1,1,0,0,684,d,c,680,,,1,22,2012,"Jan,Apr,Jul,Oct",2013,10,43,"""Yes""",0.775865602
439,5,2013-12-20,11122,1275,1,1,0,0,439,a,a,1350,9,2009,0,,,,2013,12,51,"""Yes""",0.275697764
328,1,2013-12-16,8308,810,1,1,0,0,328,a,a,3130,7,2002,0,,,,2013,12,51,"""Yes""",0.332742113
732,1,2013-02-11,4019,503,1,0,0,0,732,a,c,35280,,,0,,,,2013,2,7,"""No""",0.042216789
414,3,2013-04-17,4671,389,1,0,0,0,414,d,c,6210,,,1,1,2013,"Jan,Apr,Jul,Oct",2013,4,16,"""Yes""",0.913154465
1026,6,2013-07-27,6307,810,1,0,0,0,1026,c,a,450,6,2011,1,48,2012,"Mar,Jun,Sept,Dec",2013,7,30,"""Yes""",0.609348114
788,2,2013-08-27,18761,1902,1,1,0,0,788,a,c,1530,3,2013,0,,,,2013,8,35,"""Yes""",0.161109109
345,3,2013-06-12,3878,456,1,0,0,0,345,a,a,120,,,1,22,2012,"Jan,Apr,Jul,Oct",2013,6,24,"""Yes""",0.842905991
851,3,2013-08-14,5608,512,1,1,0,1,851,d,c,2330,,,1,49,2014,"Mar,Jun,Sept,Dec",2013,8,33,"""Yes""",0.605174191
41,4,2013-02-07,4479,330,1,1,0,0,41,d,c,1180,,,1,31,2013,"Jan,Apr,Jul,Oct",2013,2,6,"""Yes""",0.055252035
603,3,2013-05-08,5674,951,1,0,0,0,603,a,a,340,4,2007,1,13,2010,"Jan,Apr,Jul,Oct",2013,5,19,"""Yes""",0.804736149
582,2,2013-06-11,5959,808,1,0,0,0,582,a,a,120,,,0,,,,2013,6,24,"""No""",0.3553616
691,3,2013-11-27,6808,472,1,0,0,0,691,d,c,3030,,,1,37,2009,"Jan,Apr,Jul,Oct",2013,11,48,"""Yes""",0.339367961
307,3,2013-01-09,2812,322,1,1,0,0,307,a,a,18660,9,2002,0,,,,2013,1,2,"""Yes""",0.258505438
336,6,2013-07-13,10420,1558,1,0,0,1,336,a,a,190,7,2014,0,,,,2013,7,28,"""No""",0.79463629
119,5,2013-03-15,5155,628,1,0,0,0,119,a,c,2100,2,2010,0,,,,2013,3,11,"""No""",0.684742731
402,3,2013-04-24,5223,534,1,1,0,0,402,c,c,5830,9,2011,1,13,2010,"Jan,Apr,Jul,Oct",2013,4,17,"""Yes""",0.102882657
775,3,2013-10-02,8087,619,1,0,0,0,775,d,c,6970,12,2005,1,22,2011,"Jan,Apr,Jul,Oct",2013,10,40,"""Yes""",0.377906826
894,4,2013-04-25,7671,946,1,1,0,0,894,a,a,190,11,2012,0,,,,2013,4,17,"""Yes""",0.150344067
498,3,2013-04-17,5291,745,1,0,0,0,498,a,a,990,,,1,40,2014,"Jan,Apr,Jul,Oct",2013,4,16,"""Yes""",0.936133403
1046,1,2013-11-11,6457,568,1,0,0,0,1046,d,c,29070,4,2005,0,,,,2013,11,46,"""No""",0.92388199
862,5,2013-03-22,9203,1245,1,1,0,0,862,a,c,2840,3,2010,1,14,2011,"Jan,Apr,Jul,Oct",2013,3,12,"""Yes""",0.993817942
770,4,2013-04-25,6667,813,1,1,0,0,770,a,c,100,4,2015,0,,,,2013,4,17,"""Yes""",0.635453979
225,3,2013-01-16,3115,392,1,0,0,0,225,d,a,10180,5,2015,0,,,,2013,1,3,"""No""",0.069301763
167,2,2013-08-27,12204,1296,1,1,0,1,167,a,a,140,4,2008,0,,,,2013,8,35,"""Yes""",0.959711
736,1,2013-12-02,8328,703,1,1,0,0,736,c,c,1650,,,1,14,2011,"Jan,Apr,Jul,Oct",2013,12,49,"""Yes""",0.472786709
404,4,2013-08-22,3418,453,1,0,0,1,404,a,c,1420,,,1,10,2013,"Mar,Jun,Sept,Dec",2013,8,34,"""Yes""",0.530302734
288,3,2013-05-22,3442,291,1,0,0,1,288,d,a,800,,,1,14,2011,"Mar,Jun,Sept,Dec",2013,5,21,"""Yes""",0.74651667
508,6,2013-01-26,4086,443,1,0,0,0,508,a,c,1280,,,1,40,2011,"Jan,Apr,Jul,Oct",2013,1,4,"""Yes""",0.063194303
515,6,2013-10-19,8663,805,1,0,0,0,515,d,c,11260,,,1,9,2011,"Feb,May,Aug,Nov",2013,10,42,"""Yes""",0.048622757
386,1,2013-03-18,14442,1048,1,1,0,0,386,d,c,1460,4,2014,1,31,2013,"Jan,Apr,Jul,Oct",2013,3,12,"""Yes""",0.103793587
391,6,2013-12-28,2921,383,1,0,0,0,391,a,a,460,11,2014,1,31,2013,"Feb,May,Aug,Nov",2013,12,52,"""Yes""",0.813238167
20,1,2013-12-23,11753,1164,1,0,0,1,20,d,a,2340,5,2009,1,40,2014,"Jan,Apr,Jul,Oct",2013,12,52,"""Yes""",0.714882365
1033,4,2013-01-24,13887,1351,1,1,0,0,1033,a,a,7680,3,2006,0,,,,2013,1,4,"""Yes""",0.56550994
393,1,2013-06-17,7808,678,1,1,0,0,393,d,c,4820,3,2008,0,,,,2013,6,25,"""Yes""",0.396380431
785,4,2013-04-04,4137,437,1,0,0,1,785,d,c,970,7,2005,1,31,2013,"Feb,May,Aug,Nov",2013,4,14,"""Yes""",0.376554483
971,4,2013-01-03,7152,1086,1,0,0,1,971,c,a,1140,5,2011,1,14,2012,"Mar,Jun,Sept,Dec",2013,1,1,"""Yes""",0.583140893
455,4,2013-01-10,6110,395,1,1,0,0,455,d,c,7660,9,2010,0,,,,2013,1,2,"""Yes""",0.507001254
444,4,2013-07-25,10465,1324,1,0,0,1,444,c,a,1700,11,2009,0,,,,2013,7,30,"""No""",0.346071993
177,2,2013-01-29,3381,490,1,0,0,0,177,a,a,1250,2,2004,1,5,2013,"Feb,May,Aug,Nov",2013,1,5,"""Yes""",0.791642491
772,6,2013-04-06,2667,408,1,0,0,0,772,d,c,1850,,,0,,,,2013,4,14,"""No""",0.540528187
672,4,2013-12-19,16368,2331,1,1,0,0,672,c,a,240,9,2002,0,,,,2013,12,51,"""Yes""",0.995552862
538,4,2013-01-10,4455,641,1,1,0,0,538,a,a,990,2,2010,0,,,,2013,1,2,"""Yes""",0.623635155
370,4,2013-10-17,5965,571,1,0,0,0,370,d,a,8250,10,2000,1,31,2009,"Jan,Apr,Jul,Oct",2013,10,42,"""Yes""",0.64118561
915,4,2013-02-14,5541,485,1,0,0,1,915,d,c,650,3,2013,1,40,2014,"Jan,Apr,Jul,Oct",2013,2,7,"""Yes""",0.387600923
