Store,Total_Sales,Total_Customers
533,7505547,701034
868,7480652,509296
593,7454238,965705
914,7453259,888608
1092,7439455,724644
843,7423466,875136
431,7419918,780912
1026,7397085,919445
921,7389638,853783
310,7388018,627604
27,7383809,837237
938,7375962,755547
1064,7365896,831862
233,7365681,805731
69,7362059,924441
578,7356117,697049
362,7323168,898633
626,7318373,647107
809,7317626,624924
24,7313475,650800
903,7300878,508657
270,7284633,944773
267,7282702,881620
269,7281084,959027
608,7275038,735209
214,7269531,557336
167,7250708,823044
895,7248912,685097
995,7226190,614734
494,7205637,1016989
459,7194572,886078
846,7185993,673539
308,7183229,720753
853,7181892,792735
974,7178474,971204
731,7177402,737912
355,7172668,863704
1032,7172255,752136
387,7171744,915984
683,7171315,688589
999,7163321,515113
375,7148220,592001
411,7133158,547362
497,7077518,871875
876,7069345,779006
71,7058595,581851
676,7057092,1549211
515,7056301,575142
1020,7054345,866840
539,7035419,710498
82,7026310,653238
381,7021213,752849
668,7009629,906876
1053,7002929,791662
1010,6957339,633057
245,6949075,797211
384,6937572,781105
7,6930202,745569
1099,6914599,875095
574,6913915,517928
913,6900317,902068
453,6896821,811228
342,6895670,527685
672,6892942,1083587
667,6879831,621178
108,6863994,527942
826,6859209,598363
1043,6858406,941445
85,6850652,956508
372,6844455,591494
761,6843911,780038
400,6839152,938908
863,6836861,814889
1021,6835866,817747
450,6830229,846853
189,6826322,652121
154,6824045,575933
878,6801666,620669
524,6793232,721100
753,6785308,595402
1046,6784716,533570
1079,6783229,538364
1040,6775360,674734
148,6772949,642470
229,6734738,571982
967,6731473,719270
106,6718335,639877
862,6715065,876626
247,6698411,534178
445,6673717,1052928
1045,6654188,808163
872,6649861,640124
344,6649189,893298
905,6645066,987344
814,6628829,543698
738,6628200,546636
965,6626600,707184
662,6616587,604735
250,6615557,513850
616,6611772,646898
765,6609836,552225
448,6609087,577957
1059,6604849,904541
150,6599117,643191
507,6587045,517083
33,6572158,651485
171,6566306,675584
248,6555942,872228
90,6548246,822393
376,6548133,735270
354,6536263,549547
894,6529198,797763
394,6523885,516922
687,6522150,572085
691,6521018,484001
482,6517671,720149
985,6516900,601984
909,6512493,619197
1093,6504285,678171
1091,6488655,546598
536,6484095,687884
707,6481071,711970
947,6470539,879169
493,6462326,629636
579,6461297,709982
173,6454502,789125
123,6450589,737109
948,6437314,1589128
147,6397583,685221
849,6393691,697085
971,6392792,761659
510,6385260,656074
699,6373219,749312
665,6360621,975872
158,6354198,405068
1080,6338656,523432
213,6334081,508427
754,6324001,755067
535,6322186,718716
730,6315412,771672
1039,6307879,799824
34,6296685,778872
11,6296286,885992
982,6285458,539497
888,6271013,582833
643,6267634,799871
60,6265808,556509
747,6261174,547051
291,6257971,655473
655,6256703,535521
386,6255013,502764
742,6252167,679893
838,6246047,639466
928,6243438,539545
382,6228961,507968
944,6217518,963947
54,6207418,573426
705,6206501,747320
199,6197488,486550
1055,6197127,775488
957,6192726,666924
228,6190043,462038
891,6189692,851629
718,6178736,667942
434,6160800,461312
696,6154509,780542
1011,6137147,734852
529,6133846,596775
377,6129725,760021
271,6116519,617651
674,6112239,756535
319,6105068,661449
146,6086195,547187
118,6085216,528277
67,6083079,620297
162,6066911,433998
822,6066329,499161
465,6062752,472261
496,6059458,650918
951,6058267,559971
484,6050653,580053
784,6038270,642805
552,6030778,538809
200,6021315,753802
587,6020227,427184
721,6015956,592864
327,6012573,723138
975,6010559,579446
466,6007933,588740
1086,5996057,655364
357,5986921,781188
791,5973977,631301
741,5973663,721461
16,5967891,662375
370,5959072,495158
95,5958064,658101
77,5952383,517673
12,5950245,703211
417,5946326,626318
739,5944868,476019
993,5942063,587207
760,5935009,953570
80,5933077,450064
651,5932759,738819
1085,5932711,596091
68,5929590,903132
230,5928326,737138
892,5927347,608437
458,5921634,548787
506,5905867,655686
865,5894369,496348
474,5885972,576183
318,5871619,513822
238,5868876,843640
101,5856384,609290
745,5849281,553511
168,5840824,568177
140,5833328,752581
880,5832985,614028
798,5825254,702461
36,5824183,678178
128,5822099,464447
790,5820810,532923
403,5817980,573879
857,5815578,720850
1050,5771211,404342
1025,5762189,672559
792,5756322,538855
107,5751886,748964
1003,5751204,602250
437,5746040,567017
922,5739531,552904
840,5738112,827775
1051,5737921,770860
323,5737615,483870
29,5737160,509233
1061,5732970,431026
455,5727571,359933
129,5727451,724918
163,5722186,682711
138,5721236,557266
439,5719235,693947
122,5718883,702496
933,5718554,706128
56,5718290,395919
116,5711629,593708
349,5711451,580713
1060,5707977,660675
1022,5706179,641135
981,5700952,588296
489,5698967,506711
808,5687084,469085
678,5686651,642924
179,5683019,744593
49,5675296,413137
392,5670675,559386
901,5669137,500746
1073,5668621,715327
226,5667944,549052
1052,5662859,588984
412,5661520,401013
180,5660528,661099
1058,5658141,546009
940,5657022,579554
223,5656109,577676
926,5655998,422709
1019,5651236,469473
161,5649774,638171
937,5648895,457265
796,5643678,520214
338,5637222,487915
978,5626588,757830
185,5621764,427459
556,5620964,650457
720,5618245,562504
968,5609742,683254
192,5608471,401447
343,5608306,546982
216,5607978,688834
76,5606718,578204
47,5601760,721790
856,5599626,750983
278,5599459,621398
363,5593213,734675
236,5581738,677994
206,5575733,623126
930,5569973,911976
779,5560247,546065
120,5552990,498431
246,5551547,734843
37,5549053,609251
94,5547371,498672
304,5541079,827856
1017,5539437,781115
644,5537010,609472
673,5536916,452784
300,5534680,687137
313,5533037,552885
279,5532919,415873
169,5529699,526944
959,5528325,583763
847,5518727,784345
1070,5515214,680475
264,5512491,727234
632,5510559,708433
153,5505047,493792
661,5503903,453009
689,5503014,557206
299,5499540,602255
273,5499466,548145
936,5496846,694390
374,5495584,650513
1082,5494934,807063
723,5492073,442701
582,5492051,675115
487,5487451,530591
600,5485348,485495
1007,5485024,639858
401,5480695,504539
350,5477257,413472
576,5474294,756615
623,5473895,639137
553,5468991,496306
980,5468281,432164
624,5467853,531966
605,5466800,395780
290,5464029,531828
759,5460897,603295
63,5453808,500860
666,5451906,508809
740,5449956,397647
102,5444156,808768
156,5443980,557269
896,5439130,852792
821,5438993,667296
296,5438463,589505
360,5437400,593128
976,5433498,559119
297,5432839,559386
309,5430658,460414
943,5428994,471937
954,5426552,705305
637,5415918,431086
3,5408261,584310
775,5405733,386321
630,5403029,618196
424,5395164,602495
1048,5392653,416229
1037,5387026,681679
561,5385871,531991
329,5385006,483386
371,5380900,425185
430,5369397,435346
987,5368327,680093
866,5368119,379569
197,5367788,660348
783,5364665,530718
802,5363403,410025
824,5358101,676454
369,5354973,450860
870,5349346,670529
572,5345670,443496
359,5337128,476709
478,5336648,548324
618,5334682,394848
346,5320960,482745
887,5317050,445543
43,5315050,475314
1072,5314269,500175
724,5307253,544604
203,5298238,690154
603,5297052,722465
1078,5289878,406860
111,5288733,466784
151,5269496,508566
934,5268860,529417
613,5261587,782665
353,5255773,1349510
348,5255376,439128
508,5251735,514110
960,5251132,431941
352,5246710,499372
491,5242001,409706
634,5236366,507938
541,5235513,667668
504,5231756,747470
15,5231510,520107
468,5229014,591594
97,5228649,537288
503,5224595,367061
298,5223940,429979
815,5222211,507202
917,5221594,577462
26,5217266,434849
1113,5196242,562151
652,5190629,532554
311,5184737,616333
898,5173270,555939
565,5169769,617215
70,5167478,531054
685,5165199,477101
693,5160800,386231
648,5154013,478100
224,5151315,371919
925,5147464,921935
137,5147039,595429
1044,5145309,695225
260,5143038,714576
551,5142553,774390
614,5140680,734125
732,5135916,584069
692,5132377,620914
490,5131331,661634
854,5130172,530973
18,5130137,557785
241,5128334,548976
962,5125011,696101
205,5124867,689282
184,5123769,462834
522,5122860,394373
832,5115779,433019
9,5112061,451677
780,5106807,615416
877,5103191,704036
340,5084744,560590
882,5081054,647761
961,5080588,536603
1034,5072945,568150
785,5072473,437324
145,5072096,770814
287,5070793,509417
126,5069540,423630
109,5068030,582023
62,5066512,559309
927,5059388,672726
848,5059150,574672
133,5057788,593403
325,5051539,524314
654,5050619,533663
770,5046197,571210
715,5037090,524113
1057,5036413,502083
19,5036169,486618
1090,5033396,612815
475,5023680,761981
414,5020250,378114
410,5019781,624920
886,5018882,474412
973,5017528,615311
694,5005559,482870
990,4999125,447315
996,4993206,534380
1062,4990259,461502
1006,4970130,675677
812,4966087,605630
617,4960149,448262
17,4954488,619090
604,4953601,368077
677,4938047,396633
289,4936879,432447
1069,4930721,621457
441,4929786,545030
209,4928424,509083
378,4927020,755752
1087,4925247,482537
187,4923311,608155
1115,4922229,337884
602,4920431,479688
143,4919195,453411
625,4907852,480529
1084,4904211,631824
293,4899830,638439
979,4898808,497651
871,4889449,374591
361,4888169,497502
255,4885211,498843
628,4885169,598144
907,4884914,646047
112,4883888,608379
686,4875320,587900
272,4871343,491687
280,4869839,404863
415,4863171,406599
74,4855145,662877
620,4835283,441221
1005,4834459,729683
366,4833475,468724
757,4832775,416360
159,4827383,433591
100,4826434,415849
492,4825503,709936
588,4825215,518339
144,4823879,455556
456,4822447,697454
830,4816406,410638
571,4815991,358047
1024,4810209,615780
684,4802690,385149
763,4802197,459640
986,4802035,639283
20,4801543,525258
331,4799307,638940
1023,4799042,491531
850,4787781,504159
509,4783674,404802
819,4775423,423324
818,4772357,496141
737,4765845,699863
427,4761741,480391
406,4760515,369296
629,4760004,422113
1002,4753790,562417
66,4750858,407192
463,4747749,755184
303,4740126,516285
202,4737388,397835
942,4731583,367396
1054,4730838,483709
1071,4725345,571238
75,4722388,503438
767,4722348,482393
658,4719829,466330
746,4716888,397568
351,4710510,404164
984,4708162,574511
119,4707987,521332
1015,4705183,383638
88,4699058,478523
657,4698459,594536
534,4684684,354298
627,4679168,480797
38,4677617,417034
92,4671417,426158
859,4667332,451729
550,4665403,387883
869,4659180,678666
734,4658828,440954
939,4656745,449101
803,4650665,378421
135,4648837,421569
321,4647488,456662
93,4646872,470169
235,4635585,391382
1000,4635525,423675
275,4630070,466063
829,4624043,617709
227,4623704,430968
433,4621066,530762
810,4619798,380807
635,4609211,465439
621,4608739,628261
653,4608178,389640
52,4607742,313176
932,4607215,455455
836,4606682,554940
834,4600937,501318
393,4598489,457473
87,4598287,578159
31,4596143,459464
281,4594724,430929
559,4588710,585217
115,4585191,343372
516,4579807,592467
606,4577941,486724
385,4570779,407132
402,4569233,480033
221,4564321,433356
476,4564251,506843
929,4559231,557548
823,4549069,446881
175,4535086,541515
166,4533193,636652
647,4527267,531153
517,4525491,494050
860,4521003,572462
912,4520528,594778
454,4519416,551135
813,4514925,505237
744,4511526,505061
294,4506589,598265
725,4505981,466760
641,4490386,419152
1081,4485164,709444
991,4484520,418129
633,4482889,341963
1108,4482599,460408
113,4477826,434973
190,4477750,408097
855,4477596,477358
253,4476698,538066
160,4475644,436723
748,4469650,379885
773,4464281,618439
910,4452869,447385
992,4452757,546190
950,4450296,435793
585,4449323,676591
356,4443882,338618
511,4439259,635509
324,4436629,562953
935,4430153,470734
591,4429448,387507
283,4425007,446799
292,4422953,541196
471,4422266,367107
659,4407938,535041
243,4407146,594010
391,4392619,530324
413,4390211,553592
10,4365642,465661
690,4354600,617086
1102,4353993,439429
498,4351844,550201
312,4348731,420688
81,4345098,349252
8,4342857,516027
397,4342834,584418
172,4342600,540457
301,4342138,467376
537,4335799,469489
717,4325705,435789
91,4324904,477638
152,4317171,484073
409,4316867,424611
398,4309274,481859
711,4307666,318552
774,4307095,559318
564,4306402,380646
141,4305156,475445
735,4304462,424583
59,4302026,441060
23,4300299,375818
6,4297758,495483
436,4297398,481058
44,4295144,501806
341,4293485,584355
833,4293342,394316
14,4291174,491913
155,4290509,411372
563,4278470,545236
782,4275775,399793
21,4259763,401213
191,4253819,444020
79,4253485,435499
1096,4250632,493156
451,4248112,358216
612,4246423,264263
1001,4239004,485624
885,4235932,565894
806,4234755,326751
631,4233841,500538
334,4228712,437907
1029,4224868,591023
1016,4213934,389650
695,4201243,400312
530,4198697,680230
949,4194405,389579
114,4191703,476770
257,4183099,495496
771,4181091,428572
1008,4179585,561855
916,4176608,546736
305,4176274,396325
1100,4167374,514500
923,4167230,501835
45,4166458,323582
193,4166302,607349
419,4163948,668016
953,4162942,424309
447,4161176,485603
519,4160155,438316
800,4157860,388966
581,4154967,457777
51,4152028,309126
249,4144086,421584
182,4142935,326297
53,4127609,444300
367,4119323,425547
30,4114046,603828
176,4111700,492327
131,4109540,435381
899,4109286,438759
295,4106780,521352
244,4106186,420927
512,4105679,959539
1098,4102408,553080
443,4095855,381307
418,4094061,428005
670,4092358,435070
1111,4091076,351883
752,4091043,357872
201,4089245,346044
952,4085326,329797
567,4083132,523036
680,4080960,620159
28,4080950,448196
472,4080447,543274
196,4079175,544939
728,4075915,355913
225,4064054,435047
828,4055958,457911
918,4046072,431296
749,4042901,495780
96,4037973,423364
452,4037476,375007
521,4036010,332238
997,4028334,322024
481,4026351,372314
285,4025996,367256
139,4020701,319593
438,4019904,408975
839,4019692,507297
1083,4019314,281668
1074,4014070,433374
277,4008491,332923
440,4006273,457624
499,4006203,573176
495,4005216,306840
314,4002280,445010
130,3999550,448095
816,3998667,578506
712,3994137,357449
65,3988058,355602
98,3980584,351785
835,3979293,505659
893,3978679,514925
181,3976421,416656
650,3975207,412899
1088,3960984,377930
597,3957495,566742
239,3950473,367741
426,3948281,493761
58,3947427,319691
337,3943779,299850
875,3943035,366310
915,3942303,319510
322,3926557,428432
215,3920679,304466
1103,3920264,301204
428,3910828,327530
132,3908185,362256
222,3906246,440266
170,3902355,423591
326,3901936,326200
548,3896082,307908
542,3885411,330680
188,3884836,341389
1036,3884252,367372
2,3883858,457855
577,3883479,457367
1107,3882362,416495
339,3881031,513596
590,3872700,304273
480,3869738,488793
164,3868966,394629
477,3864914,279830
265,3859812,392036
483,3859771,507014
664,3858158,469879
566,3845237,427157
531,3843117,470876
446,3842157,494709
781,3839505,524908
286,3838772,335325
1106,3836971,437169
268,3826840,468855
867,3809715,360886
568,3809325,323256
766,3809093,329475
601,3807976,307941
220,3807392,500228
40,3804215,515125
1035,3803794,450423
1041,3801487,408015
801,3798660,371915
274,3794012,925235
1047,3791124,407902
805,3784390,356051
39,3780153,490471
1031,3773364,325598
240,3772636,360447
462,3769419,472848
758,3768116,492895
793,3764223,356672
1012,3762920,321582
461,3759643,370263
966,3753283,475390
194,3752516,324514
845,3746964,277736
212,3744115,361234
904,3742423,319701
1095,3739067,530065
347,3732856,300454
776,3728530,414825
1,3716854,440523
883,3714779,391539
89,3714173,388237
638,3713936,313767
505,3711170,462013
134,3705099,387764
924,3702496,350663
584,3697954,338512
636,3692957,445334
174,3692528,298263
671,3691881,369379
639,3688329,378581
1028,3686723,425786
217,3685496,504018
988,3683288,566446
955,3676529,355771
408,3673481,361353
778,3670582,497906
61,3668998,444241
1038,3668097,319358
598,3665006,453190
518,3653972,314185
86,3652727,470659
5,3642818,418588
549,3639890,429407
609,3636230,395622
900,3635287,341494
404,3631985,433625
663,3623173,494265
611,3602813,305106
852,3597687,456050
701,3594522,391641
874,3593615,399658
73,3588351,387402
55,3587212,435992
142,3586489,443045
920,3585330,361808
1067,3580348,305012
514,3580238,375667
547,3578049,275078
422,3574303,364186
706,3572311,326197
890,3563801,276589
237,3556217,450589
716,3556025,282580
1105,3555802,397318
110,3554993,460552
1110,3548486,422958
795,3547312,364026
569,3543332,511836
714,3538417,257282
727,3537376,353663
589,3537175,373858
994,3536283,344327
570,3533080,515535
596,3532562,547535
405,3521625,379921
373,3520201,245955
540,3513672,243396
554,3513115,428076
364,3510451,437640
258,3509384,307197
288,3499206,262806
1077,3497529,386337
121,3473474,393208
592,3465390,444038
149,3462975,302428
399,3457604,351419
282,3456330,502531
328,3452551,405391
1068,3451074,240516
124,3446410,409507
884,3443958,329703
919,3438093,420199
945,3429965,416215
266,3424011,414483
136,3414045,263716
204,3412446,326039
557,3410036,525941
442,3402587,358458
1104,3397012,268215
851,3392054,292151
622,3385282,337120
365,3378609,364655
284,3367042,279858
583,3363288,350283
998,3354263,415133
105,3348791,388347
1063,3348689,416261
719,3348602,284100
317,3346040,360336
501,3345228,365618
575,3343994,307112
675,3341266,350178
315,3333890,352465
500,3330211,246036
46,3329125,410832
958,3327635,441182
486,3323793,405098
41,3318407,247531
864,3316575,456851
50,3315479,279505
429,3309752,267103
908,3307400,283561
700,3297857,399042
751,3284432,446946
946,3274470,414924
881,3274150,483296
610,3269954,405391
127,3263370,411023
736,3261815,316774
989,3260812,356745
594,3258199,358034
844,3255217,353844
330,3245811,348645
811,3239518,535292
889,3232661,353304
555,3223315,298433
1042,3218244,426002
1004,3212907,281082
242,3196707,285726
99,3191184,289554
276,3191132,406340
708,3145529,325392
931,3140234,386489
941,3129057,344647
13,3126578,237740
646,3126126,439386
218,3121555,433160
177,3115395,378516
1013,3110984,345207
777,3109262,273048
750,3108353,250543
395,3107536,404811
48,3085014,336519
1109,3064721,281354
804,3061600,273928
379,3059341,366551
607,3051294,323807
902,3039385,391201
520,3033870,323837
485,3029769,261854
83,3028523,269409
538,3025475,445253
117,3024044,383319
457,3010824,269133
956,2992188,385118
873,2990009,355880
743,2976940,326296
977,2974291,318092
1009,2968299,284969
231,2967114,245380
762,2965697,297292
103,2959073,266040
858,2957986,260058
183,2945836,367233
302,2922724,252528
460,2914087,269319
332,2908282,391168
78,2899629,385990
488,2890074,304193
649,2873358,301609
660,2871525,309426
1094,2845473,232530
642,2845461,373828
825,2838137,334048
345,2836062,307503
710,2828018,232122
420,2824092,250784
688,2820350,284035
1076,2820000,424905
1030,2816323,258896
669,2807854,245019
772,2804862,382210
22,2801506,312129
786,2779666,431356
473,2767243,378998
72,2753676,295838
681,2731676,375017
702,2720610,215970
897,2717511,268885
306,2717435,291021
764,2714404,303938
619,2676841,266765
861,2674267,389298
969,2645117,452346
789,2626269,364576
797,2617520,257816
1065,2611257,301834
837,2608765,345575
232,2583221,232738
970,2573975,312532
703,2563326,274642
435,2553322,299263
558,2541355,355175
656,2534495,296129
32,2526117,296333
425,2512424,337080
210,2488114,254156
165,2486031,262891
1049,2478906,395752
573,2472309,208622
219,2441162,316620
407,2417555,195715
1056,2415557,230408
794,2405374,407027
972,2402627,272238
186,2353548,237019
254,2341661,201507
879,2340576,216037
841,2318635,321495
263,2306075,221342
208,2302052,324162
198,2268273,264690
543,2179287,187583
307,2114322,240704
